alert_id,soc_id,timestamp,source,severity,alert_type,asset_id,event_ids,analyst_id,status,priority,created_at,closed_at
AL-00116,SOC-002,2026-08-09T23:34:14.550384Z,EDR,HIGH,Ransomware Behaviour,ASSET-02400,"[""EV-07002""]",AN-00034,CLOSED,4,2026-08-09T23:34:14.550384Z,2026-08-10T23:14:37.550384Z
AL-00117,SOC-001,2026-08-09T23:43:17.844602Z,CASE_MANAGEMENT,HIGH,Phishing Attempt,ASSET-00768,"[""EV-09271""]",AN-00007,CLOSED,4,2026-08-09T23:43:17.844602Z,2026-08-11T14:26:31.844602Z
AL-00118,SOC-001,2026-08-10T00:00:27.381176Z,SIEM,CRITICAL,Ransomware Behaviour,ASSET-00324,"[""EV-07010""]",AN-00006,CLOSED,5,2026-08-10T00:00:27.381176Z,2026-08-10T01:46:31.839695Z
AL-00119,SOC-002,2026-08-10T02:16:52.051076Z,SIEM,CRITICAL,Phishing Attempt,ASSET-01263,"[""EV-08804""]",AN-00023,CLOSED,5,2026-08-10T02:16:52.051076Z,2026-08-12T17:41:16.051076Z
AL-00120,SOC-002,2026-08-10T02:22:03.287177Z,FIREWALL,HIGH,Data Exfiltration Suspicion,ASSET-01220,"[""EV-02976""]",AN-00028,CLOSED,4,2026-08-10T02:22:03.287177Z,2026-08-11T10:07:35.287177Z
AL-00121,SOC-001,2026-08-10T05:54:36.119994Z,CASE_MANAGEMENT,HIGH,Privilege Abuse,ASSET-00576,"[""EV-04712""]",AN-00008,CLOSED,4,2026-08-10T05:54:36.119994Z,2026-08-11T11:27:48.119994Z
AL-00122,SOC-001,2026-08-10T06:20:19.027377Z,SIEM,HIGH,Brute Force,ASSET-00379,"[""EV-03726""]",AN-00007,CLOSED,4,2026-08-10T06:20:19.027377Z,2026-08-11T07:12:26.027377Z
AL-00123,SOC-002,2026-08-10T07:13:53.643214Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-01803,"[""EV-03276""]",AN-00032,CLOSED,4,2026-08-10T07:13:53.643214Z,2026-08-11T07:44:58.702030Z
AL-00124,SOC-001,2026-08-10T08:24:31.108759Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-00802,"[""EV-03512""]",AN-00003,CLOSED,4,2026-08-10T08:24:31.108759Z,2026-08-12T01:38:46.108759Z
AL-00125,SOC-002,2026-08-10T08:34:03.857177Z,FIREWALL,CRITICAL,Malware Detected,ASSET-01667,"[""EV-00136""]",AN-00022,CLOSED,5,2026-08-10T08:34:03.857177Z,2026-08-11T02:35:14.857177Z
AL-00126,SOC-001,2026-08-10T08:39:17.863545Z,CASE_MANAGEMENT,CRITICAL,Privilege Abuse,ASSET-00821,"[""EV-04721""]",AN-00012,CLOSED,5,2026-08-10T08:39:17.863545Z,2026-08-12T12:43:50.863545Z
AL-00127,SOC-002,2026-08-10T15:00:47.012979Z,CASE_MANAGEMENT,HIGH,Phishing Attempt,ASSET-02683,"[""EV-06112""]",AN-00027,CLOSED,4,2026-08-10T15:00:47.012979Z,2026-08-12T11:29:09.012979Z
AL-00128,SOC-002,2026-08-10T15:57:40.251675Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-01289,"[""EV-00634""]",AN-00024,CLOSED,4,2026-08-10T15:57:40.251675Z,2026-08-11T10:38:08.251675Z
AL-00129,SOC-002,2026-08-10T16:09:09.466446Z,EDR,HIGH,Suspicious Login,ASSET-01575,"[""EV-00714""]",AN-00030,CLOSED,4,2026-08-10T16:09:09.466446Z,2026-08-11T16:36:23.466446Z
AL-00130,SOC-001,2026-08-10T19:52:32.543349Z,CASE_MANAGEMENT,HIGH,Privilege Abuse,ASSET-00907,"[""EV-00716""]",AN-00002,CLOSED,4,2026-08-10T19:52:32.543349Z,2026-08-10T21:35:35.752982Z
AL-00131,SOC-001,2026-08-10T20:12:42.924640Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-00624,"[""EV-07320""]",AN-00013,CLOSED,4,2026-08-10T20:12:42.924640Z,2026-08-12T04:56:13.924640Z
AL-00132,SOC-002,2026-08-10T23:44:31.979528Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-02078,"[""EV-05047""]",AN-00029,CLOSED,4,2026-08-10T23:44:31.979528Z,2026-08-13T16:26:05.979528Z
AL-00133,SOC-002,2026-08-11T02:20:33.822481Z,IDS,CRITICAL,Port Scan,ASSET-01821,"[""EV-04929""]",AN-00034,CLOSED,5,2026-08-11T02:20:33.822481Z,2026-08-11T12:11:00.822481Z
AL-00134,SOC-001,2026-08-11T03:23:55.781675Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-00317,"[""EV-00562""]",AN-00011,CLOSED,4,2026-08-11T03:23:55.781675Z,2026-08-12T03:27:37.781675Z
AL-00135,SOC-001,2026-08-11T05:53:48.625107Z,IDS,CRITICAL,Privilege Abuse,ASSET-00703,"[""EV-02603""]",AN-00016,CLOSED,5,2026-08-11T05:53:48.625107Z,2026-08-04T07:36:10.251968Z
AL-00136,SOC-002,2026-08-11T06:24:03.150290Z,SIEM,HIGH,Ransomware Behaviour,ASSET-02847,"[""EV-05342""]",AN-00024,CLOSED,4,2026-08-11T06:24:03.150290Z,2026-08-11T07:44:58.702030Z
AL-00137,SOC-001,2026-08-11T11:19:28.375938Z,CASE_MANAGEMENT,CRITICAL,Port Scan,ASSET-00414,"[""EV-01579""]",AN-00003,CLOSED,5,2026-08-11T11:19:28.375938Z,2026-08-13T04:48:44.375938Z
AL-00138,SOC-002,2026-08-11T15:20:37.926660Z,FIREWALL,HIGH,Malware Detected,ASSET-02349,"[""EV-00665""]",AN-00029,CLOSED,4,2026-08-11T15:20:37.926660Z,2026-08-13T05:34:31.926660Z
AL-00139,SOC-001,2026-08-11T16:42:15.020007Z,IDS,HIGH,Data Exfiltration Suspicion,ASSET-00136,"[""EV-00789""]",AN-00007,CLOSED,4,2026-08-11T16:42:15.020007Z,2026-08-13T13:56:24.020007Z
AL-00140,SOC-001,2026-08-11T18:10:31.662924Z,SIEM,HIGH,Privilege Abuse,ASSET-00906,"[""EV-06126""]",AN-00014,CLOSED,4,2026-08-11T18:10:31.662924Z,2026-08-13T04:43:57.662924Z
AL-00141,SOC-001,2026-08-11T19:35:38.649054Z,EDR,HIGH,Phishing Attempt,ASSET-00327,"[""EV-02749""]",AN-00012,CLOSED,4,2026-08-11T19:35:38.649054Z,2026-08-13T08:09:59.649054Z
AL-00142,SOC-002,2026-08-11T22:32:16.148259Z,FIREWALL,CRITICAL,C2 Beacon,ASSET-01686,"[""EV-04589""]",AN-00022,CLOSED,5,2026-08-11T22:32:16.148259Z,2026-08-12T18:04:22.148259Z
AL-00143,SOC-002,2026-08-11T22:50:59.360497Z,IDS,CRITICAL,Malware Detected,ASSET-02006,"[""EV-02880""]",AN-00024,CLOSED,5,2026-08-11T22:50:59.360497Z,2026-08-13T12:57:14.360497Z
AL-00144,SOC-001,2026-08-12T00:22:49.209237Z,CASE_MANAGEMENT,HIGH,Phishing Attempt,ASSET-00407,"[""EV-01791""]",AN-00016,CLOSED,4,2026-08-12T00:22:49.209237Z,2026-08-13T12:17:37.209237Z
AL-00145,SOC-002,2026-08-12T02:36:59.445400Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-02683,"[""EV-04031""]",AN-00034,CLOSED,4,2026-08-12T02:36:59.445400Z,2026-08-14T16:05:55.176005Z
AL-00146,SOC-002,2026-08-12T04:28:36.479889Z,FIREWALL,HIGH,Phishing Attempt,ASSET-02337,"[""EV-02051""]",AN-00031,CLOSED,4,2026-08-12T04:28:36.479889Z,2026-08-09T13:54:19.046083Z
AL-00147,SOC-001,2026-08-12T07:04:51.573286Z,CASE_MANAGEMENT,HIGH,Suspicious Login,ASSET-00621,"[""EV-04631""]",AN-00013,CLOSED,4,2026-08-12T07:04:51.573286Z,2026-08-12T09:07:28.569632Z
AL-00148,SOC-002,2026-08-12T08:12:41.928244Z,IDS,HIGH,Malware Detected,ASSET-01595,"[""EV-02195""]",AN-00020,CLOSED,4,2026-08-12T08:12:41.928244Z,2026-08-14T16:05:55.176005Z
AL-00149,SOC-002,2026-08-12T13:58:02.139578Z,EDR,HIGH,Brute Force,ASSET-01250,"[""EV-01360""]",AN-00033,CLOSED,4,2026-08-12T13:58:02.139578Z,2026-08-13T08:17:17.139578Z
AL-00150,SOC-001,2026-08-12T14:11:17.438343Z,IDS,HIGH,Port Scan,ASSET-00973,"[""EV-04591""]",AN-00008,CLOSED,4,2026-08-12T14:11:17.438343Z,2026-08-12T23:33:22.438343Z
AL-00151,SOC-001,2026-08-12T17:04:14.182968Z,IDS,HIGH,Brute Force,ASSET-00205,"[""EV-04875""]",AN-00012,CLOSED,4,2026-08-12T17:04:14.182968Z,2026-08-14T12:08:39.182968Z
AL-00152,SOC-001,2026-08-12T17:36:00.840566Z,CASE_MANAGEMENT,HIGH,Phishing Attempt,ASSET-00002,"[""EV-03194""]",AN-00015,CLOSED,4,2026-08-12T17:36:00.840566Z,2026-08-14T00:52:08.840566Z
AL-00153,SOC-002,2026-08-12T19:35:44.132976Z,EDR,HIGH,Ransomware Behaviour,ASSET-02222,"[""EV-09458""]",AN-00027,CLOSED,4,2026-08-12T19:35:44.132976Z,2026-08-13T09:39:14.132976Z
AL-00154,SOC-002,2026-08-12T22:17:44.184889Z,EDR,HIGH,C2 Beacon,ASSET-01893,"[""EV-06374""]",AN-00032,CLOSED,4,2026-08-12T22:17:44.184889Z,2026-08-13T18:39:15.184889Z
AL-00155,SOC-001,2026-08-13T02:14:43.078622Z,IDS,HIGH,Phishing Attempt,ASSET-00174,"[""EV-00463""]",AN-00001,CLOSED,4,2026-08-13T02:14:43.078622Z,2026-08-09T20:43:49.291118Z
AL-00156,SOC-001,2026-08-13T02:37:27.308857Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-00818,"[""EV-06516""]",AN-00018,CLOSED,4,2026-08-13T02:37:27.308857Z,2026-08-11T07:44:58.702030Z
AL-00157,SOC-002,2026-08-13T06:09:32.828338Z,EDR,HIGH,Suspicious Login,ASSET-01422,"[""EV-02645""]",AN-00032,CLOSED,4,2026-08-13T06:09:32.828338Z,2026-08-14T15:21:45.828338Z
AL-00158,SOC-002,2026-08-13T06:53:55.352664Z,SIEM,CRITICAL,Suspicious Login,ASSET-01254,"[""EV-08092""]",AN-00033,CLOSED,5,2026-08-13T06:53:55.352664Z,2026-08-13T23:00:30.352664Z
AL-00159,SOC-002,2026-08-13T08:25:32.960607Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-01273,"[""EV-05458""]",AN-00024,CLOSED,4,2026-08-13T08:25:32.960607Z,2026-08-13T18:29:48.960607Z
AL-00160,SOC-002,2026-08-13T10:01:20.801501Z,IDS,CRITICAL,Suspicious Login,ASSET-01890,"[""EV-04055""]",AN-00021,CLOSED,5,2026-08-13T10:01:20.801501Z,2026-08-13T22:56:41.801501Z
AL-00161,SOC-001,2026-08-13T12:29:20.222967Z,CASE_MANAGEMENT,CRITICAL,Ransomware Behaviour,ASSET-00916,"[""EV-06361""]",AN-00011,CLOSED,5,2026-08-13T12:29:20.222967Z,2026-08-14T06:31:30.222967Z
AL-00162,SOC-001,2026-08-13T12:41:16.018308Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-00334,"[""EV-09239""]",AN-00018,CLOSED,4,2026-08-13T12:41:16.018308Z,2026-08-04T02:51:54.253790Z
AL-00163,SOC-001,2026-08-13T13:34:48.388743Z,CASE_MANAGEMENT,HIGH,Brute Force,ASSET-00345,"[""EV-01511""]",AN-00001,CLOSED,4,2026-08-13T13:34:48.388743Z,2026-08-14T13:45:57.388743Z
AL-00164,SOC-002,2026-08-13T13:57:45.341444Z,EDR,HIGH,Phishing Attempt,ASSET-01242,"[""EV-04878""]",AN-00037,CLOSED,4,2026-08-13T13:57:45.341444Z,2026-08-14T03:47:08.341444Z
AL-00165,SOC-001,2026-08-13T15:17:10.516901Z,SIEM,CRITICAL,Data Exfiltration Suspicion,ASSET-00652,"[""EV-06336""]",AN-00002,CLOSED,5,2026-08-13T15:17:10.516901Z,2026-08-14T20:59:33.516901Z
AL-00166,SOC-002,2026-08-13T18:12:24.814551Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-01720,"[""EV-06130""]",AN-00037,CLOSED,4,2026-08-13T18:12:24.814551Z,2026-08-15T15:42:14.814551Z
AL-00167,SOC-002,2026-08-13T21:36:28.951792Z,SIEM,CRITICAL,Malware Detected,ASSET-02527,"[""EV-07313""]",AN-00034,CLOSED,5,2026-08-13T21:36:28.951792Z,2026-08-14T00:11:36.861719Z
AL-00168,SOC-002,2026-08-14T00:10:24.611723Z,FIREWALL,HIGH,Ransomware Behaviour,ASSET-01542,"[""EV-01510""]",AN-00025,CLOSED,4,2026-08-14T00:10:24.611723Z,2026-08-04T07:36:10.251968Z
AL-00169,SOC-002,2026-08-14T01:03:33.549850Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-02397,"[""EV-08690""]",AN-00026,CLOSED,4,2026-08-14T01:03:33.549850Z,2026-08-15T13:06:51.549850Z
AL-00170,SOC-001,2026-08-14T04:30:34.953235Z,IDS,HIGH,Port Scan,ASSET-00475,"[""EV-06389""]",AN-00003,CLOSED,4,2026-08-14T04:30:34.953235Z,2026-08-15T09:10:48.953235Z
AL-00171,SOC-002,2026-08-14T06:44:24.900566Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-02054,"[""EV-04444""]",AN-00034,CLOSED,4,2026-08-14T06:44:24.900566Z,2026-08-14T08:58:26.199468Z
AL-00172,SOC-001,2026-08-14T06:56:54.702060Z,IDS,HIGH,Brute Force,ASSET-00175,"[""EV-01979""]",AN-00013,CLOSED,4,2026-08-14T06:56:54.702060Z,2026-08-15T11:45:09.702060Z
AL-00173,SOC-002,2026-08-14T07:37:43.985192Z,IDS,HIGH,C2 Beacon,ASSET-01014,"[""EV-06066""]",AN-00027,CLOSED,4,2026-08-14T07:37:43.985192Z,2026-08-04T02:51:54.253790Z
AL-00174,SOC-001,2026-08-14T09:38:07.767463Z,SIEM,HIGH,Data Exfiltration Suspicion,ASSET-00727,"[""EV-09999""]",AN-00007,CLOSED,4,2026-08-14T09:38:07.767463Z,2026-08-17T22:54:22.767463Z
AL-00175,SOC-002,2026-08-14T14:31:27.528196Z,CASE_MANAGEMENT,HIGH,Ransomware Behaviour,ASSET-02836,"[""EV-05998""]",AN-00030,CLOSED,4,2026-08-14T14:31:27.528196Z,2026-08-14T16:05:55.176005Z
AL-00176,SOC-001,2026-08-14T17:16:55.260283Z,IDS,HIGH,Suspicious Login,ASSET-00026,"[""EV-08413""]",AN-00004,CLOSED,4,2026-08-14T17:16:55.260283Z,2026-08-16T06:11:06.260283Z
AL-00177,SOC-001,2026-08-14T21:29:14.982114Z,IDS,CRITICAL,Malware Detected,ASSET-00282,"[""EV-09063""]",AN-00007,CLOSED,5,2026-08-14T21:29:14.982114Z,2026-08-15T11:45:25.982114Z
AL-00178,SOC-001,2026-08-14T21:43:32.626860Z,IDS,HIGH,C2 Beacon,ASSET-00734,"[""EV-06373""]",AN-00014,CLOSED,4,2026-08-14T21:43:32.626860Z,2026-08-16T02:03:26.626860Z
